prompt,avg_program_length,avg_macro_usage,avg_macro_usage_pct_of_program_length,avg_runtime_seconds,num_runs
Grab the green cube,1.2,0.0,0.0,16.2324302,5
Move 20cm above the blue can,1.0,0.0,0.0,3.9898094,5
Grab the medium-sized cube,1.8,0.0,0.0,17.5682384,5
Grab a yellow fruit,1.6,0.0,0.0,27.392125,5
Grab the cylindrical object,1.0,0.4,0.4,4.6724786,5
Put the crackers on the other side of the table,3.0,0.2,0.06666666666666667,57.1393512,5
Move rightmost banana to the left of the can,3.0,0.4,0.13333333333333333,40.4729442,5
Move leftmost fruit 15cm closer to me,1.8,0.8,0.6666666666666666,24.9147764,5
Pick up closest food item to the red cube,1.5,0.0,0.0,17.1526375,2
Move the orange to the center of the table,1.0,1.0,1.0,12.680725,3
"Move leftmost banana 10cm to the right, then move rightmost banana 5cm to the left",2.0,2.0,1.0,26.690547200000005,5
Pick up the apple and throw it on the ground,2.6,0.4,0.26666666666666666,29.3770468,5
"Pick up the sphere, move it to the right 50cm, then release it",1.0,1.0,1.0,3.5331314,5
"Move to the smallest cube, then move to the largest cube",2.0,0.0,0.0,16.465266200000002,5
"Move the gripper down and to the right by 20cm, down and to the left by 20cm, up and to the left by 20cm, and up and to the right by 20cm",4.0,0.0,0.0,26.863430200000003,5
Clear the table,14.0,8.0,0.8,55.7266466,5
Remove the non-food items on the table,4.2,4.2,1.0,53.6598294,5
Sort objects by shape,2.6666666666666665,2.6666666666666665,1.0,33.571799,3
Stack all the cubes,5.0,1.25,0.5,47.8968445,4
Put warm-colored objects next to each other,5.0,5.0,1.0,55.02224220000001,5
